0	Capitulum. primum quomodo diuiduntur anime. 	Capitol. i. |en qual manera son de partides les potencies dela anima 	0|1
1|2	et inquibus potenciis habent |esse uirtutes 	e en quels potencies han esser les uirtuts. 	2
3|4	Ostquam auxiliante. |deo conpleuimus prim̃a partem huius pͥ mi libri 	Epus que deus auidant hauem conplida la primam partida daquest primer libre 	3
5	in quo agitur de regimine sui 	en lo quil es tractar del regiment 	4
		desimatex demostrant 	5
6|7	ostendentes inquo reges et principes |suam felicitatem ponere debeant 	en qual cosa los Reys els princeps degen posar la sua benauenturança/. 	6
8|9	quia non decet |eos suum finem ponere in diuiciis 	Quar nos partany dells posar la sua si en 	7
10	nec in ciuili potentia 	riquehes ne enpotencia ciuil ne 	8
11	nec in aliquibus talibus 	en alters coses aytals 	9
12	sed in omnibus hiis 	ans de tots coses aytals 	10
13	ut supra plenius probabatur debent 	segons que damunt era prouat 	11
14	utitanquam organis ad felicitatem 	deuem usar axi con dorguens o de instrumens abenauenturanca/ 	12
15|16	suam autem felicitatem ponere debent |in actu prudencie 	Mas la sua benauenturança deuem posar en fer o en obra deprudencia o desauiea 	13
17	prout talis actus est inperatus a caritate. 	segons que tal fer oral obra es manada per caritat/ 	14
18	Nam tunc reges habent felicitature suo statu debitam et condignam 	Quar lauos los Reys han |benauenturanca deguda e condiergo al lur estament 	15|16
19|20	quando in stigante dei delectatione |secundum prima	quan ells per instigacio dela amor de deusegons sauiea o segons prudenercia regitiua ese gons ley e segons raho 	17
21|22	denciam regnatiuam gentem |sibi commissam scderm legem 	regexem lagent quils ͤ comanada santament e iustament 	18
23	et rationem sancte et iuste regunt principalitergni regum felicitas ponenda est in ipso deo 	Donques principalment la benauenturança dels Reys deu esser posada en deu 	19
24	et ut cognitione et dilectione eius suum studium 	axi que per couexença e per dilectio dell lur estudi 	20
25	et suam uitam ad hoc ordinare debeant 	e lur uida studien ordonar 	21
26	⁊cognoscentes et diligentes deum 	a aço que ells conexent e amant deu axi con au̾rades ministres o auirtades serutdos seus 	22
27	tanquam ueri ministri eius sermordinem rationis dirigant populm sibi commissum. 	segons orde de raho endreç̾en o |regesquenon lo poble quils comanar/ 	23|24
28	Hiis igitur ita peractis et ostenso 	aquestes coses donques axi conplides/ 	25
29|30	in quo reges debeant |ponere suum finem 	E de mo strat en qual cosa los Reys deuen posar la sua si segons 	26
31	secundum ordinem superius praetexatum restat ostendere 	lorde damunt posat en lo. c. iii. 	27
32|33	quibus uirtutibus reges poll̾e debeant |uirtutes autem sunt quidam ornatus 	Roman a demostrar de quals uirtuts los Reys degen resplendir quar les uirtuts son algum ornament 	28
34	et quedam perfectiones anime. 	e algunes perfeccions dela 	29
35|36	oportet igitur prius ostendere |quot sunt poten cie anime 	anima Pͥmerament donques coue a demostrar quantes son les potencies dela anima 	30
37|38	et in quibus potenciis habent |esse uirtutes	e en quals potem cies han parsser les uirtuts/ 	31
39	consequenter autem manifestabitur 	Empero ap̾s sera manifestat 	32
40|41	quomodo uirtutes sunt |dis 	en qual manera les uirtuts deuem esser 	33
42|43	terngende postea uero ostendemus |quot sunt numero huius uirtutes 	departides/ Enapͥs nos demostrarem quantes son per nonbre aquestes 	34
44	et que illarum st principales 	uirtursS quals da quells son principals 	35
45	et que secundarie. 	e quals son secundaries o meỹs principals 	36
46	deinde autem declarabitur singulariter 	E finalment sera declarat 	37
47	que sit una quem illarum uirtutum 	en especial quel sia quescuma daquelles urtuts 	38
48|49	et quomodo decet reges |et principes tales uirtutes habere. 	E enqͣl mana se partaỹ dels Reys e dels princeps hau̾ tals 	39
50	po tencie autem anime sic distingui possunt. 	uirtursLes potencies dela anima poden esser de partides en aquesta 	40
51	quia quedam sunt 	maneraQuar algunes son nanls 	41
52	naturalesᷤ quedam cognitiue sensitiue 	Algunes cognitiues o conexedores sensitiues 	42
53	quedam appetitiue 	Algunons appetitiues o uoluntaries/ 	43
54|55	et quedam intellectiue naturales |potencie sunt ille 	E alters entellectuals les potencies naturals son aquells 	44
56	et inquibus communicamus 	en les quals nos participsa ab les co ses 	45
57	cum uegeta bilibus et plantis 	qui han uida e ab les plantes 	46
58	ut potentia nutritiua augmentatiua generatiua 	axicon es potencia nutritiua crescitiua e generatiua eles alters autals 	47
59	et talia que etiam ipsis ardoribus conpetunt. 	qui aximatex couenen als arbres 	48
60|61	Potentie uero cognitiue sensitiue |sunt uisus gustus tactus 	Mas les potencies conexedor̃s sensitiues son la uista lo gustar ol ta star lo tochar e les altres aytals 	49
62	et talia in quibus communicamus cunbrutis appetitiue ueros distinguntur. 	en los quals nos comunament participsa ab les besties brutals |Mas les potencies appetiues o uolenteroses son departides/ 	50|51
63	Nam quidam appetitus est in homine 	Quar algum appetiment o alguna uoluntat es en homo 	52
64	in quo non communitat cum brutis . 	en lo quel ell no participa ab les besties brutals/ 	53
65	ut appetitus sequens intellectum 	axi con es lappetimnent o la uoluntat que seguer lenteniment 	54
66	quidam uero in quo communicat cum eis 	Mas algum alcre es |en lo qual ell participa 	55|56
67|68	ut appetitus sequens sensum. |appetitus autem sequens sensum potest 	ab ells axi con es lappetiment o lauoluntat 	57
69	nominari sensualitas sequens intellectum 	qui segueyx lo seny |corperal pot esser appellat sensualitat/ 	58|59
70	nominetur uoluntas 	En aquell qui seguex lenteniment sia appellat 	60
