0	avoir trové. » 	auoir troue fait elle. 	0
1	Si li conte tote s’aventure 	si li conte toute sauenture 	1
2	issi com vos avés oi dire ça arrieres. 	si com li contes la retrait cha en arriere. 	2
3	tant qu’il conoist bien 	Tant que il connoist bien 	3
4|5	que c’est il |qu’ele quiert a, 	quele le quiert. 	4
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	Mais pour le courous |quil a del senescal. 	5|6
		ne se volt il faire aconnoistre. 	7
7	ains li respont: « 	Ains li respont. 	8
8|9	Certes, |damoisele, chevalier 	Certes damoisele le cheualier 	9
10	qui porte escu blanc ne conois je nul. — 	qui porte blanches armes ne connois iou mie. 	10
11|12	En non Dieu, |sire, 	Enon dieu sire fait elle 	11
13|14	fet ele, |ce poise moi chierement. » 	che poise moi moult durement. 	12
15	Et il n’en tient plus a li parole, 	Lors le commande a dieu |et puis sen part de li 	13|14
16	ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce 	et cheuauche en tel maniere iusques a tierce. 	15
17	tant qu’il vint a l’issue de la forest; 	Tant que il vint a lissue de la forest. 	16
18	et il torne a destre vers un chemin viés et ancien; 	et torne a destre en vn petit chemin viez 	17
19	si ne demora gueres 	Si ne demora gaires 	18
20	qu’il vint a une eve P lee et parfonde, 	quil vint en vne moult grant ualee |ou il couroit vne aigue grant et roide et parfunde. 	19|20
21	mais il n’i trueve pont ne gué ne passage nul. 	mais il ni troeue ne pont ne passage. 	21
22	Et il regarde d’autre part de l’eve, 	Et il regarde de lautre part de laigue 	22
23|24	si voit I. petit chastel molt bien seant, |clos de mur bateillié tot entor a la roonde. 	si y uoit. j. castel moult bien seant. clos de mur bateillie tout entor a la reonde. 	23
25	ll regarde grant piece le chastel 	Il regarde le chastel grant piece 	24
26	dont la façons li plest molt a regarder, 	dont la fachons li plaisoit moult a regarder. 	25
27	puis s’en torne contreval la riviere 	puis sen torne contremont la riuiere 	26
28	por savoir s’il i peust trover ne pont ne gué, 	pour sauoir |se il troueroit ne pont ne gue. 	27|28
29	mais il n’en trueve point 	mais il ni trueue nul passage. 	29
30|31	et quant il voit |qu’il n’i passera, 	Et quant il voit chou 	30
32	si ne set que fere, 	si ne set 	31
