A	B
0	0|1
1|2	2
3	3
4	4
5	5
6	6|7
7	8
8	9
9	10|11
10	12
11	13
12	14
13	15
14	16
15	17
16	18
17	19|20
18	21|22
19	23
20	
21|22	24
23	25|26
24	27|28
25	29
26	30
27	31|32
28	33
29	34
30	35
31	36|37
32	38
33	39
34	40
35	41
36	42
37|38	43
39	44
40|41	45
42	46
43	47
44	48
45	49
46	50
47	51
48	52
49	53
50	54
51	55
52	56
53	57
54	58
55	59
56	60
57	61
58	62
59	63
60	64
61	65
	66
62	67|68
63	69
64	70
65	71
66	72
67	73
68	74
69|70	75
71	76|77
72	78
73	79|80
74	81
75	82
76	83
77	84
78|79	85
80	86
81	87
82	88
83|84	89
85	90
86	91
87	92
88	93
89|90	94
91	95|96
92|93	97
94	98
95	99
96	100
97	101
98	102
99	103
100	104
101	105
102	106
103	107
104|105	108
106|107	109
108	110
109	111
110	112
111	113|114
112	115
113	116
114	117
115|116	118
117	119
118	120
119	121
120	122
121	123
122	124|125
123	126|127
	128
124	129
125	130
126	131
127	132
128	133|134
129	135
130	136
131	137
132	138
133	139
134	140
135	141
136	142|143
137	144
138	145
139	146
140	147
141	148
142	149
143	150
144	151
145	152
146	153|154
147	155
148|149	156
150	157
151	158
152|153	159
154	160
155	161
156	162
157	163
158	164
159	165
160	166|167
161	168
162	169|170
163	171
164	172|173
165	174|175
	176
166	177
167|168	178
169	179
170|171	180
172	181
173	182
174	183
175	184
176	185
177	186|187
178	
179	188
180	189|190
181	191
182	192
183	193
184	194
185	195
186	196
187	197
188	198
