	micha-ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	sommer--ii-48	lancellotto-ii-48
0	avoir trové. » 	queria fallar muy de grado 	auoir trouue. 	auoir troue 	auoir trouue 	auoir troue fait elle. 	avere trovato». 
1|2	Si li conte tote s’aventure |issi com vos avés oi dire ça arrieres. 	e luego le conto todo |como le auia conel contesçido 	si luy compte toute sauanture |ansi comme le comte la dit cy deuant 	Si li conte tote sauenture |ainsi com li contes la retraite. 	si luy compte toute son auanture 	si li conte toute sauenture |si com li contes la retrait cha en arriere. 	Si gli conta tutta sua aventura |si come el libro l’à trattato qua adietro, 
3	tant qu’il conoist bien 	asi como el cuento lo a deuisado |e luego entendio boores 	tant que il cognoist bien 	Tant que il quenoit bien 	tant quil cengnoit bien 	Tant que il connoist bien 	tanto che conosce bene 
4|5	que c’est il |qu’ele quiert a, 	que ael andaua ella buscando 	que cest il quelle quiert. 	que cest ele |que il le quiert. 	que cest celle |qui le quiert/ 	quele le quiert. |Mais pour le courous 	che ciò est elli quelli |cui ella chiede, |ma per lo cruccio 
				mais por le corrous 			
6|7|8|9	Mais por le coros de la mort al seneschal ne se volt fere conoistre, |ains li respont: « |Certes, |damoisele, chevalier 	mas porel pesar dela muerte del senescal |no se quiso fazer conosçer |antele rrespondio çierto donçella al cauallero 	Mais pour le courroux |quil a de la mort au seneschal ne se ueult il faire cognoistre |Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier 	quil auoit de la mort au seneschal: |ne se wet faire quenoistre a li |si li dit. |Certes damoisele 	Mais pour le couroust quil a du sencchal et de sa mort ne se uoult faire congnoistre/ |mes leur respont certes damoiselle 	quil a del senescal. |ne se volt il faire aconnoistre. |Ains li respont. |Certes damoisele le cheualier 	ch’egli à della morte del siniscalco |non si vuole fare cognoscere, |anzi le risponde: |'Certo, damigella, il cavaliere 
10|11|12|13|14	qui porte escu blanc ne conois je nul. — |En non Dieu, |sire, |fet ele, |ce poise moi chierement. » 	que traia blancas armas no conozco yo |Pardios dixo la donçella |mucho me Pesa caramjente 	qui porte escu blanc. |Certes sire fait elle ce me poise 	qui port escu blanc ne sai ie nul. |En no dieu fait ele |de ce me poise il trop durement. 	ie ne cengnois mie le cheualier |qui porte les blances armes. |En nen dieu fait elle |il me poyse monlt chierement. 	qui porte blanches armes ne connois iou mie. |Enon dieu sire fait elle |che poise moi moult durement. 	che porta lo scudo bianco |non ne so io nulla. |—A nome di Dio, |dis’ella, |ciò pesa a mes. 
15	Et il n’en tient plus a li parole, 	e boores non quiso conella |mas estar 	et il ne tient plus parole a luy. 	et il ne tient plus a li parole. 	A donc sen part |et ne uoult plus parler 	Lors le commande a dieu |et puis sen part de li 	E non tenne più a-llei parole, 
				Ains sen part si tost 			
16	ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce 	e acomendo la a dios |e fuese e andubo tanto 	ains sem part si tost quil leut commandee a dieu |et cheuauche en telle maniere iucqua tierce 	comme il lot comandee a dieu. |et cheuauche en tel maniere. 	il la commandee a dieu et sen ua. |et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies 	et cheuauche en tel maniere iusques a tierce. 	anzi si parti si tosto come l’à comandata a dDio |e cavalca tanto in tale maniera 
17|18	tant qu’il vint a l’issue de la forest; |et il torne a destre vers un chemin viés et ancien; 	que salio dela floresta |e dexo el camino |e tomo a mano derecha vn camino pequeño |e biejo lleno de yerba 	tant quil uient a lissue de la fourest.|et il tourne a destre vers ung chemin uieil et ancien. 	tant quil uient a lissue de la forest|et il torne a destre uers le chemin uiee et acien 	tant quil uint a lissue de la forest et il tourna a destre uers ung petit chemyn uieil: 	Tant que il vint a lissue de la forest. |et torne a destre en vn petit chemin viez 	infino qua a terza, |tanto che viene a l’uscita della foresta. |Ed e torna a destra inverso uno camino vecchio e antico, 
19	si ne demora gueres 	e non andubo mucho 	Si ne demoura gueres 	Si ne demora gaires 	si ne demoura gueres 	Si ne demora gaires 	si non dimora guari 
20	qu’il vint a une eve P lee et parfonde, 	porque llego a vn valle |Por do corria vn agua muy negra e fea e fonda 	quil uient a une caue lee et parfonde 	quil uient a une eue lee et parfonde. 	quil uint en une uallee/ |ou il couroit une eau monlt roidde 	quil vint en vne moult grant ualee |ou il couroit vne aigue grant et roide et parfunde. 	che viene a una acqua lata e perfonda, 
21	mais il n’i trueve pont ne gué ne passage nul. 	e non fallo puente |por do Pudiese pasar 	mais il ny treuue pont ne gue ne passage nul. 	mais il ni trueue ne pont ne gue ne passaige nul. 	la quelle estoit grande et parfonde/ |et ne treuue ne pont ne planche par ou il puisse passer. 	mais il ni troeue ne pont ne passage. 	ma e' non vi truova né ponte né guado né passaggio nullo. 
22	Et il regarde d’autre part de l’eve, 	e cato dela otra parte Del agua 	et il regarde de lautrepart de leaue 	et lors regarde il dautre part de leue. 	Sy regarde de laultre part de leaue 	Et il regarde de lautre part de laigue 	Ed elli isguarda d’altra parte dell’acqua, 
23|24	si voit I. petit chastel molt bien seant, |clos de mur bateillié tot entor a la roonde. 	e vio vn castillo muy bien asentado |çercado de muy buen muro todo enderredor 	si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde . 	Si uoit .i. petit chastelet mout bien feant |qui estoit clos de murs batilliez de toutes pars enuiron a la roonde 	et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour. 	si y uoit. j. castel moult bien seant. clos de mur bateillie tout entor a la reonde. 	si vide uno piccolo castello molto ben sedente, |chiuso d’uno muro battagliato |tutto intorno alla ritonda. 
25	ll regarde grant piece le chastel 	e el cato gran pieça el castillo 	Il regarde grant piece le chastel 	Il esgarde Longuement le chastel 	Il regarde le chastel grant pieche 	Il regarde le chastel grant piece 	eElli riguarda gran peza il castello, 
26	dont la façons li plest molt a regarder, 	ca mucho se pagaua delo catar 	dont la facon luy plaist moult a regarder 	dont Ia fasons li plait mout a esgarder. 	car monlt luy plaisoit a uoir/ 	dont la fachons li plaisoit moult a regarder. 	donde la fazion gli piace molto al riguardare, 
27	puis s’en torne contreval la riviere 	e despues torno la rribera ayuso 	puis sen retourne tout contreual la riuiere 	et puis sen torne tot contreual la riuere. 	puis sen tourne contre ual la riuiere 	puis sen torne contremont la riuiere 	poscia ritorna tutto contravalle la riviera 
28	por savoir s’il i peust trover ne pont ne gué, 	Por saber si podria fallar puente |Por do pasase 	pour sauoir sil pourroit trouuer ne pont ne gue 	Por sauoir |se il i troueroit ne pont ne gue. 	pour scauoir |sil pouroit trouuer ne pont ne gue par le quel il puisse passer/ 	pour sauoir |se il troueroit ne pont ne gue. 	per sapere se potrebbe trovare né ponte né guado, 
29|30|31	mais il n’en trueve point |et quant il voit |qu’il n’i passera, 	mas el no pudo fallar ninguna |e boores desque esto vido no sabia que se façer 	Mais il ny en treuue point. |Et quant il uoit quil ne puet passer 	mais il nen i trurue point : 	mes il nen truue point. |Et il uoit ce 	mais il ni trueue nul passage. |Et quant il voit chou |si ne set 	ma e non ve ne truova punto, |e quand’e vede |che non potrà passare, 
32|33	si ne set que fere, |que retorner ne voldroit il mie. 	ca el no se queria tomar en ninguna manera 	si ne scet que faire |car retourner ne uouldroit il pas. 	si ne sot que faire |car retorner ne wet il mie 	si ne scait que faire/ |car retourner ne uoulloit pas. 	que faire quar retorner |ne volroit il en nulle maniere. 	si non sa che fare, |ché ritornare non vorebbe elli mica. 
34|35	Atant voit issir del chastel une damoisele |qui ert tote nue en sa chemise, 	Ansi estando vio del castillo |salir vna donçella en camisa 	Adonc uoit yssir du chastel une damoisele |qui estoit toute nue en sa chemise. 	atant uoit issir une damoisele dou chastel |qui estoit tote nue en sa chemisse 	A tant uoit yssir une damoiselle du chastel |la quelle estoit toute nue en sa chemise/ 	Lors uoit issir del castel vne damoisele toute nue en sa chemise. 	?Atanto vide uscire una damigella del castello |ch’era tutta ignuda in sua camicia solamente, 
