0	el terçero libro de las politicas 	El Filósofo en el III.o de las Políticas 	0
1	departe el philosofo seys linaies de prinçipados 	pone seis linajes o maneras de principados, 	1
2	de los quales tro son buenos 	de los cuales los tres son buenos 	2
3	e los tres son malos. 	e los tres son malos. 	3
4|5	ca el regno e la aristocarçia |que quiere dezer sennorio de buenos 	E éstos son reyno, aristocracia e policía, 	4
6	e la poliçia 		
7|8	que quiere dezer pueblo bien |enssenoreante son buenos prinçipados. 	e estos tres son buenos; 	5
9|10	La thirania que quiere dezer sennorio malo |e la obligaçia 	los otros tres contrarios de éstos son malos, 	6
11|12	que quiere dezer sennorio duro. |Et la democraçia 	e éstos son tiranía, oligarquía e democracia. 	7
13	que quiere dez maldat del pueblo 		
14|15	enssennoreante son malos prinçipados. |Et alli muestra el pho departir el buen prinçipado del malo. 	E esto muestra el Filósofo 	8
16|17	ca si en algun señorio, |o prinçipado es entendido el bien comun 	dando conoscimiento de los buenos 	9
18	e el bien de todos los çibdadanos 	e de los malos 	10
19|20	segunt su estado |assi es sennorio ygual e derecho. 	en comparación del bien común, 	11
21|22	mas si es entendido |y el bien de algunos e la subiecto, 	ca los unos principados entienden siempre en salvar el bien común, 	12
23	o agrauiamiento de algunos 		
24|25	assi es señorio corrupto e malo |e en esta manera segunt derecho 	e los malos, 	13
26|27	e tuerto commo pone el philosopho. |podemos tomar la suficiençia de los prinçipados 	posponiendo el bien común, 	14
28	tan bien de los malos 	entienden siempre en el bien propio. 	15
29	commo de los buenos, 	E la suficiencia destos principados da el Filósofo en esta manera, 	16
30|31	ca en la çibdat |o en alguna gente 	diciendo que en toda la cibdad 	17
32	o 	o 	18
33	enssennorea vno, o pocos, 	sennorea uno, 	19
34	o muchos Si vno, 	o pocos, o muchos. 	20
35|36	o aquel entiende bien comun |e bien de los subdictos 	Si uno e aquél entiende en el bien común de los súbditos, 	21
37|38	e estonçe es dicho tal sennorio monarchia, |o el regno 	aquel sennorío es dicho reyno o monarquía, 	22
39	ca al Rey parte nesçe de enteder el bien comun. 	ca al rey pertenesce de tener mientes al bien común; 	23
40|41	Et si aquel vno assi |enssennoreante non entiende el bien comun, 	e si ensennoreando aquél no tiene mientes al bien común, 	24
42|43	Mas entiende por poderio çiuil apremiar los otros |e todas las cosas ordena al su bien propio, 	mas a lo suyo propio, 	25
44	aquel non es Rey mas es tiranno. 	aquél no es rey, mas tirano. 	26
45|46	e assi paresçe que dos principados se le una tan del sennorio de vno prinçipado de derechas |si commo quando por el bien comun 	E así paresce que dos principados se toman en comparación de uno 	27
47	enssennore a vno este es dicho Rey. 		
48	Et otro prinçipado malo 		
49	quando por el bien proprio 		
50	enssennorea vno 		
51|52	e este es dich tiranno. |Enpero contesçe alguas uezes 	e así contescería 	28
53|54	que alguna çibdat non es gouernada |por vn sennor mas es gouernada por algunos pocos 	que mucho fuesen los sennores, 	29
55	assi commo viemos muchos en la çibdat de Roma 	así como contesció en Roma, 	30
56	que quando fallesçie el ssenador en aquel tienpo en medianero 		
57	ante que otro senador fuesse escogido todo el pueblo romano era gouernado 		
58	por algunos pocos uarones 		
59|60	e de buen testimonio eran escogidos doze uarones prouados |e buenos los quales llaman 	que cuando fallescía el governador escogían doce ommes buenos 	31
61	que los doze omes buenos 		
62	assi commo agora dizen en françia los doze pares 		
63|64	e por el gouernamiento destos se gouernaua toda la çibdat. |Onde los malefiçios que se fazian eran departidos 	que governasen el pueblo. 	32
65	por el departimiento de los prinçipados ca dizian que algun malefiçio fuera fecho de tal senador. 		
66	Mas de otro dizian que le fezier entrro de los buenos omes. 		
67	Et por ende si se gouernare la çibdat non por vno solo 		
68|69	mas por algunos pocos estonçe aquellos pocos o son uirtuosos, |o buenos que entienden al bien comun 	Si aquellos pocos que escogían eran buenos o virtuosos, 	33
70	e tal prinçipado es dicħa ristrocaçia 	tal principado era dicho aristocracia, 	34
71|72	que quiere dezer prinçipado |de buenos omes e uirtuosos 	que quiere decir sennorío de buenos e virtuosos. 	35
73|74	e dende vienen |que los mayores en el pueblo 	E dende vino aquella costunbre 	36
75|76	e los que deuen gouernar el pueblo |son dichos obtimates 	que a los buenos governadores de la cibdad llamaban optimates, 	37
77|78	que quiere dezir muy buenos |ca muy buenos deuen ser 	que quiere decir muy buenos ommes; 	38
79|80	aquellos que dessean ser mayores que los otros. |Mas si aquellos pocos non son uirtuosos 	e si aquellos pocos que escogian para, 	39
81|82	nin entienden el bien comun |mas son ricos e apremadores de los otros 	governar no eran buenos 	40
83|84	e entienden a ganançia propria este prinçiado |tal es dich obligartia 	ni entendían en el bien comun, 	41
85|86	que quiere dezir prançipado de ricos. |Et pues que assi es dos prinçipados 	mas querianse facer ricos con el poderío, 	42
87	se le una tan del sennorio de pocos vno derecho 		
88|89	assi commo quando |enssennorean algunos 	apremiando los pueblos, 	43
90|91	que son uirtuosos |e entienden en el bien comun. 	este tal principado es dicho oligarquia, 	44
92|93	Et otro malo assi commo quando enssenorean algunos non |por que son buenos 	que quiere decir principado de los ricos. 	45
94	mas 	E así paresce que de los pocos sennores se toman dos principados, 	46
95|96	por que son ricos |e apremian los otros. 	uno bueno e otro malo. 	47
97|98	Lo tercero se pueden departir los prinçipados por que enla çibdat |enssennorean muchos 	E si por ventura muchos fueren sennores, 	48
99|100	ca comunalmente en las çibdades de italia |enssennorean muchs 	así como en las cibdades de Italia, 	49
101|102	assi commo todo el pueblo |ca alli es demandado el consentimiento de todo el pueblo 	do todo el pueblo ensennorea, 	50
103|104	para los establesçimientos que han de fazer |ca maguera sienpre llamen ally alguna 	ca todo el pueblo face leyes 	51
