0	auoir troue fait elle. 	queria fallar muy de grado 	0
1	si li conte toute sauenture 	e luego le conto todo 	1
2	si com li contes la retrait cha en arriere. 	como le auia conel contesçido |asi como el cuento lo a deuisado 	2|3
3	Tant que il connoist bien 	e luego entendio boores 	4
4	quele le quiert. 	que ael andaua ella buscando 	5
5|6	Mais pour le courous |quil a del senescal. 	mas porel pesar dela muerte del senescal 	6
7	ne se volt il faire aconnoistre. 	no se quiso fazer conosçer 	7
8|9	Ains li respont. |Certes damoisele le cheualier 	antele rrespondio çierto donçella al cauallero 	8
10	qui porte blanches armes ne connois iou mie. 	que traia blancas armas no conozco yo 	9
11	Enon dieu sire fait elle 	Pardios dixo la donçella 	10
12	che poise moi moult durement. 	mucho me Pesa caramjente 	11
13	Lors le commande a dieu 	e boores non quiso conella 	12
14	et puis sen part de li 	mas estar 	13
15	et cheuauche en tel maniere iusques a tierce. 	e acomendo la a dios |e fuese e andubo tanto 	14|15
16	Tant que il vint a lissue de la forest. 	que salio dela floresta |e dexo el camino 	16|17
17	et torne a destre en vn petit chemin viez 	e tomo a mano derecha vn camino pequeño |e biejo lleno de yerba 	18|19
18	Si ne demora gaires 	e non andubo mucho 	20
19	quil vint en vne moult grant ualee 	porque llego a vn valle 	21
20	ou il couroit vne aigue grant et roide et parfunde. 	Por do corria vn agua muy negra e fea e fonda 	22
21	mais il ni troeue ne pont ne passage. 	e non fallo puente |por do Pudiese pasar 	23|24
22	Et il regarde de lautre part de laigue 	e cato dela otra parte Del agua 	25
23	si y uoit. j. castel moult bien seant. clos de mur bateillie tout entor a la reonde. 	e vio vn castillo muy bien asentado |çercado de muy buen muro todo enderredor 	26|27
24	Il regarde le chastel grant piece 	e el cato gran pieça el castillo 	28
25	dont la fachons li plaisoit moult a regarder. 	ca mucho se pagaua delo catar 	29
26	puis sen torne contremont la riuiere 	e despues torno la rribera ayuso 	30
27|28	pour sauoir |se il troueroit ne pont ne gue. 	Por saber si podria fallar puente 	31
29	mais il ni trueue nul passage. 	Por do pasase |mas el no pudo fallar ninguna 	32|33
30|31	Et quant il voit chou |si ne set 	e boores desque esto vido no sabia que se façer 	34
32|33	que faire quar retorner |ne volroit il en nulle maniere. 	ca el no se queria tomar en ninguna manera 	35
34	Lors uoit issir del castel vne damoisele toute nue en sa chemise. 	Ansi estando vio del castillo |salir vna donçella en camisa 	36|37
35	si le menoient. iiij. ribaut moult felenessement 	que traian quatro rribaldos muy sañudamente 	38
36	et tenoit Cascuns en sa main. i. coutel trenchant. 	e cadavno traia enla mano vna lança 	39
37	Et elle crioit 	e ella daua vozes 	40
38	quamque elle pooit por chiaus 	quanto podia dar 	41
39	qui li faisoient tel laidure. 	e ellos la lleuaron muy desonrrada mente 	42
40	quar il lenmenoient tot contreual la riuiere batant 	contra la rribera |porla yr ha echar 	43|44
41	Et quant elle vit le cheualier de lautre part de laigue. 	e quando la donçella vio a bores |dela otra parte del agua 	45|46
42	si li commenche a crier. 	començo a dar vozes 	47
43|44	Ha : gentils homs quar secoures ceste damoisele |que cist ribaut voelent ochirre. 	e a deçir ay jentil cauallero acorred a esta donçella 	48
45	Pour dieu ne mi laissies ore mie morir. 	que estos Ribaldos me quieren |ansi matar ay buen cauallero 	49|50
46	se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame 	si nunca oviste piedad de donçella |auelda agora de mi 	51|52
		e no me dexedes asi morir	53
47	Quant bohors oy 	Quando boores oyo 	54
48	que la damoisele li prioit si piteusement de li secorre 	lo que la donçella deçia 	55
49	si One sot 	no supo que façer 	56
50	que faire quar volentiers li alast aidier sil peust estre 	ca muy de grado la quisiera acorrer |si pudiese 	57|58
51	mais il voit laigue parfonde et perillouse et noire. 	Mas el agua hera muy fonda e peligrosa e negra 	59
52	si quide bien morir 	e bien cuidaua morir 	60
53	se il si met 	si se y Metiese 	61
54	Et dautre part voit il cels 	e dela otra parte veya la donçella 	62
55	qui si piteusement li crie merci. 	que muy afincada mente le pedia merçed 	63
56	si len prent tele pities 	e ovo tal piedad della 	64
57	quil en laisse toute paour 	que le fiço todo el miedo perder 	65
58	et met le signe de la vraie crois en mi son front et en mi son pis. 	e fiço la señal dela cruz sobre si 	66
59	puis enbrace son escu 	e enbraço el escudo 	67
60	et fiert le cheual des esperons 	e firio al cauallo de las espuelas 	68
61	et se lance en laigue. 	e lanço se en el agua 	69
62	Et li cheuaus commence a noier: 	e el cauallo començo de nadar luego 	70
63	si tost quil a terre perdue. 	e perdio tierra	71
64	si lenporte de lautre part a grant paine 	en tal manera que paso dela otra parte del agua 	72
65	mes aincois ot beu de laigue li vns et li autres. 	mas ante beuio el cauallo del agua |e si el caballo tan bueno 	73|74
66	Et se li cheuaus ne fust si boins noie fussent ambedui 	no fuera sin dubda |el moriera enel agua 	75|76
67	Car li cheualiers estoit pesans pour lez armes 	e boores porel peso delas armas 	77
68	quil auoit uestues 	que llebaua 	78
69|70	si en fu moult en peril. . |uant bohors ot passe laigue pour la damoisele secorre 	e desque fue dela otra Parte del agua 	79
71|72	ainsi que vous poes oir. |si ne descendi mie ains cort sus a chiaus 	dexo se correr 	80
73	qui la damoisele tenoient 	aquellos que la donçella tenian 	81
74	si fiert le premier quil encontre si durement 	e firio al primero 	82
75|76	quil li met le glaiue parmi le cors |si labat a la terre. 	que encontro en tal manera que le metio la lança porel cuerpo 	83
77	Et li autre senfuient pour chou 	e los otros dos 	84
78	que desarme estoient. 	que aquello vieron 	85
79	Et la damoisele 	fuyeron luego 	86
80	qui deliure se uoit. 	por miedo de no ser muertos |ca todos estauan desarmados 	87|88
81	se met maintenant a genouls deuant bohort 	e la donçella desque aquello vido finco los ynojos ante boores 	89
82	et dist. ha: 	e dixo 	90
83	gentiex cheualiers de dies oess vous beneois 	ay jentil cauallero vendito seades de dios 	91
84	quar vous maues de mort rescousse. 	que asi me librastes de muerte 	92
85	Et aoures en soit diex 	e bendito sea dios 	93
86	quant il ceste part vous amena. 	que aqui vos traxo 	94
87	Car cist glouton meussent morte 	que estos villanos me hubieran muerto 	95
88	se vous ne fuissies. 	si por vos no fuera 	96
89	Damoisele ce dist bohors 	donçella dixo boores 	97
90	pourcoi vous voloient il mal faire 	Por que señor dixo ella 	98
91	Sire fait elle iou le vous dirai bien. 	yo vos lo dire |mas ante conuiene 	99|100
92	mais que vous maies mise a sauuete 	que non aya miedo de ninguno 	101
93	Comment fait il aues vous encore paour. 	Donzella dixo boores 	102
94	Sire fait elle ia asseuree ne serai 	de quien auedes miedo |señor dixo ella 	103|104
95	tant que iou y sache le seignor del chastel : 	del señor del castillo 	105
96	quar cest li plus fel cheualiers del monde 	ca es el mas follon omne 	106
97	et li plus desloiaus. 	de todo el mundo e mas cruel 	107
98	ches paroles voient. j. cheualier issir du castel. 	Ellos asi fablando |vieron salir del castillo vn caballero 	108|109
99	Et la ou il voit bohors. 	e quando vido a boores 	110
		començo le a dar boçes 	111
100	si li escrie dans cheualiers laissies ester la damoisele 	e a deçir don cauallero |a dexar vos conuiene la donzella 	112|113
101	quar vous ne lenmenrois pas 	ca la non lleuaredes 	114
102	et par mon chief mar le rescousistes 	e porla my cabeza 	115
103	quar vous le comperres 	ental Punto la acorristes 	116
104	se iou puis moult chier. 	e luego se dexaron correr el vno contra el otro 	117
105	Et quant bohors lentent si point vers lui 	e boores lo firio conla lança 	118
106	quanque il pot del cheual traire le glaiue alongie 	que auia sacado del cuerpo del villano 	119
107	quil auoit trait del cors a celui quil auoit ochis. 	que auia muerto |en tal manera que dio conel 	120|121
108|109	Si fiert celui si durement |quil labat a terre si estordi 	Porlas ancas del cauallo a tierra asi estordido 	122
110	quil not pooir de lui releuer. 	que non se pudo leuantar 	123
111|112	Ains iut illueques tous pasmes |quar il cai si felenessement 	asi estaua amorteçido dela cayda 	124
113	que a poi que la canoele del col ne li est brisie. 	que las coyunturas del pescuezo tenia quebradas 	125
114	Et bohors li uait tout a cheual par desus le cors 	e boores traxo tantas vezes el cauallo sobre el 	126
115	Si que tout le debrise. 	Que todo lo quebranto 	127
116	Et lors est la damoisele si lie 	e la donçella |que aquello vido fue muy alegre 	128|129
117	que plus ne puet. 	que mas no lo podia ser 	130
118	Si dist a bohort 	e dixo a boores 	131
119	sire nous nauons hui mes garde. 	señor agora non auedes aqui |deque vos mas guardar 	132|133
		ca eneste castillo no auia 	134
		mas deste cauallero segund cuydo 	135
120	Car iou quit quil ni a plus de cheualiers laiens que cestui. 	e agora os direlo |que me preguntastes seguramente 	136|137
121	Si vous dirai 	Pues deçidmelo dixo boores |asi es dixo la donçella 	138|139
122|123	ce que vous me denmandastes. |ore le me dites 	que oy mañana entre mi 	140
124	dont fait bohors. 	e vn cauallero 	141
125|126	Par foy sire fait elle entre moi et. i. cheualier |qui mes amis estoit cheualchiemes parmi chest chastel. 	que hera mi amigo pasamos poreste castillo 	142
127	Et quant li freres a celui 	e quando el señor del castillo 	143
128	qui vous aues abatu me uit. 	hermano de aquel que vos derribastes 	144
129|130	si me volt auoir et prendre par force |quar il mauoit lonc tamps amee. 	me vido quisome prender afuerça e trabo del freno demi palafren 	145
131|132	Si me prist au frain |et men volt mener a force. 	e quisome llebar 	146
133	Mais mes anis se combati a lui 	e me vido mi amigo llebar 	147
134|135	tant quil locist. |Et quant chils cheualiers 	conbatiose conel tanto quelo mato 	148
136|137	que vous uees |chi vit son frere mort. 	e quando aquel que alli esta vido asu ermano muerto 	149
138	si fist mon ami prendre par force de vilains. 	fiço prender ami amigo |a fuerça de gente e de villanos 	150|151
139|140	et locist por uengance de son frere |quil auoit ochis. 	e matolo en enmienda dela muerte desu hermano 	152
141	Et dist 	e dixo 	153
142	quil se vengeroit de moi sans main metre. 	que demi se vengaria el seguramente |porque fui ocasion dela muerte de su hermano 	154|155
143	et me fist tantost prendre a ches. iiij. ribaus 	entonçe fiço tomar aquellos quatro villanos 	156
144	que vous ueistes ore. 	que vos vistes 	157
145|146	et lor commanda |quil me noiassent. 	e mandoles que me matasen en aquel agua 	158
147|148	Car par armes dist |il ne voeil iou mie 	ca por armas no me queria matar 	159
149|150	que elle muire. |Si me menoient 	e ellos me mataran sin falta 	160
151	ensi com vous ueistes por noier 	si vos porla voluntad de dios 	161
152	quant vous me uenistes rescorre par la volente de dieu et la vostre. 	e porla vuestra no me acorrierades 	162
153	vous ai conte mon errement 	agora vos e contado todo mi acaesçimiento |como me contesçio 	163|164
154	si volroie 	e querria 	165
155	se vostre volentes 		
156|157	y estoit que vous me metissies a sauuete. |En vn mien castel 	que me llebasedes a vn mi castillo 	166
158	qui est pres de chi. volentiers fait il 	que es çerca de aqui 	167
159	et il le prent maintenant par les bras 	si vos plaze de GraDo dixo boores 	168
160	et le met sor le col de son cheual. 	e luego echo su escudo alas espaldas |e tomola Porel braço 	169|170
161	et met son escu derriere son dos. 	e pusola antesi Ensu caballo 	171
162	si sen torne cele part ou la damoisele lenseigne 	e fuese ansi conella |por do ella lo yria guiando fasta medio dia 	172|173
163|164	Tant que chou vint apres miedi |que il virent deuant euls vn moult bel castel. 	Que vieron vn muy fermoso castillo 	174
165	Et lors ataingnent. ij. escuiers a lentree dun boskel 	e alcançaron dos escuderos |ala salida devn monteçillo 	175|176
166	et portoit cascuns venison torsee derriere lui. 	que traia cada vno vn corço atroxado trassi 	177
167|168	Et quant il voient la damfolisele |si descendent a pie 	e desque vieron la donçella desçendieron apie 	178
169	et li font si grant ioie 	e fueron e fezieron gran alegria conella 	179
170|171	comme a celui |qui lor dame estoit. 	como aquella que hera su señora 	180
172	mais moult sesmerueillent 	mas mucho se marauillaron 	181
173	de ce quil la voient plorer. 	porque la vian ansi venir	182
174|175	si li demandent |que elle a. 	e preguntaronla que auia 	183
176	Et elle lor conte 	e ella les conto 	184
177	comment sez amis auoit este ochis. 	como su amigo hera muerto 	185
178	et iou meisme eusse este ochise. 	e dixo yo mesma fuera muerta 	186
179	se ne fust cils frans cheualiers 	sino fuera por aqueste buen cauallero 	187
180	qui par Sa debonairete ma rescousse. 	que me libro 	188
181	et se mist en peril de mort pour moi sauuer. 	e se metio en peligro de muerte |Por me librar 	189|190
182	Et lors conseilla elle a. j. de ses escuiers 	e luego destroçaron el vn corço |e pusieronlo enel Palafren 	191|192
183	Et cil destorse tout maintenant sa venison 	e ymbiaronlo al castillo conel vn escudero 	193
184	et le baille a porter a son compaignon 	e pusieron ala donçella enel otro 	194
185|186	et sen vait vers le castel |quanque il pot del ronchi traire. 	e fueronse contrael castillo quanto podian 	195
187	Et bohors demande a la damoisele 	e boores pregunto ala donçella 	196
188	comment li castiaus auoit non 	como auia nombre el castillo 	197
189	ou ses amis auoit este ochis. 	Do su amigo auian muerto 	198
190	Sire fait elle il a a non Galdon:. 	señor dixo ella el a nombre Galdon 	199
191	Et laigue ou vous passastes a a non Galide. 	e el agua |que pasastes galide 	200|201
192|193	Ensi sen vont parlant |tant quil sont venu pres del chastel. 	Asi fueron fablando fasta el castillo 	202
194|195	si le voient moult bel et moult fort |et moult bien seant. 	Que hera muy fuerte e muy bien asentado 	203
196	Et quant il furent monte le tertre. 	e desque fueron entrados enel castillo 	204
197	si voient issir dames et damoiseles a grant plente 	luego vinieron contraellos muchas danças e corros |de Dueñas e de donçellas 	205|206
198|199	dont lez vnes dansoient et lez autres karoloient |et baloient 	e otros dançaban e bailauan 	207
