0	auoir troue fait elle. 	avere trovato». 	0
1	si li conte toute sauenture 	Si gli conta tutta sua aventura 	1
2	si com li contes la retrait cha en arriere. 	si come el libro l’à trattato qua adietro, 	2
3	Tant que il connoist bien 	tanto che conosce bene 	3
4	quele le quiert. 	che ciò est elli quelli |cui ella chiede, 	4|5
5	Mais pour le courous 	ma per lo cruccio 	6
6	quil a del senescal. 	ch’egli à della morte del siniscalco 	7
7	ne se volt il faire aconnoistre. 	non si vuole fare cognoscere, 	8
8	Ains li respont. 	anzi le risponde: 	9
9	Certes damoisele le cheualier 	'Certo, damigella, il cavaliere 	10
10	qui porte blanches armes ne connois iou mie. 	che porta lo scudo bianco |non ne so io nulla. 	11|12
11	Enon dieu sire fait elle 	—A nome di Dio, |dis’ella, 	13|14
12	che poise moi moult durement. 	ciò pesa a mes. |E non tenne più a-llei parole, 	15|16
13|14	Lors le commande a dieu |et puis sen part de li 	anzi si parti si tosto come l’à comandata a dDio 	17
15	et cheuauche en tel maniere iusques a tierce. 	e cavalca tanto in tale maniera |infino qua a terza, 	18|19
16	Tant que il vint a lissue de la forest. 	tanto che viene a l’uscita della foresta. 	20
17	et torne a destre en vn petit chemin viez 	Ed e torna a destra inverso uno camino vecchio e antico, 	21
18	Si ne demora gaires 	si non dimora guari 	22
19|20	quil vint en vne moult grant ualee |ou il couroit vne aigue grant et roide et parfunde. 	che viene a una acqua lata e perfonda, 	23
21	mais il ni troeue ne pont ne passage. 	ma e' non vi truova né ponte né guado né passaggio nullo. 	24
22	Et il regarde de lautre part de laigue 	Ed elli isguarda d’altra parte dell’acqua, 	25
23	si y uoit. j. castel moult bien seant. clos de mur bateillie tout entor a la reonde. 	si vide uno piccolo castello molto ben sedente, |chiuso d’uno muro battagliato 	26|27
24	Il regarde le chastel grant piece 	tutto intorno alla ritonda. |eElli riguarda gran peza il castello, 	28|29
25	dont la fachons li plaisoit moult a regarder. 	donde la fazion gli piace molto al riguardare, 	30
26	puis sen torne contremont la riuiere 	poscia ritorna tutto contravalle la riviera 	31
27|28	pour sauoir |se il troueroit ne pont ne gue. 	per sapere se potrebbe trovare né ponte né guado, 	32
29	mais il ni trueue nul passage. 	ma e non ve ne truova punto, 	33
30	Et quant il voit chou 	e quand’e vede 	34
31	si ne set 	che non potrà passare, 	35
32	que faire quar retorner 	si non sa che fare, 	36
33	ne volroit il en nulle maniere. 	ché ritornare non vorebbe elli mica. 	37
34	Lors uoit issir del castel vne damoisele toute nue en sa chemise. 	?Atanto vide uscire una damigella del castello |ch’era tutta ignuda in sua camicia solamente, 	38|39
35	si le menoient. iiij. ribaut moult felenessement 	si-lla menavano iiii. rubaldi molto villanamente 	40
36	et tenoit Cascuns en sa main. i. coutel trenchant. 	e tenieno ciascuno una acciaia in sua mano. 	41
37	Et elle crioit 	Ed ella grida 	42
38	quamque elle pooit por chiaus 	quanto |ch’ella può gridare 	43|44
39	qui li faisoient tel laidure. 	per coloro |che-lle facieno cotale onta e tal ladiura, 	45|46
40	quar il lenmenoient tot contreual la riuiere batant 	ch’elli la menavano |battendo tutto contravalle la riviera. 	47|48
41	Et quant elle vit le cheualier de lautre part de laigue. 	E quando la damigella vide lo cavaliere dall’altra parte dell’acqua, 	49
42	si li commenche a crier. 	si gli comincia a gridare: 	50
43	Ha : gentils homs quar secoures ceste damoisele 	Hal, gentile huomo, |soccorete questa damigella 	51|52
44	que cist ribaut voelent ochirre. 	che questi rubaldi vogliono uccidere! 	53
45	Pour dieu ne mi laissies ore mie morir. 	Hal, franco cavaliere, non mi lasciate uccidere, 	54
46	se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame 	se voi unque aveste piatà |di nulla gentile damigella». 	55|56
47	Quant bohors oy 	“Quando Boordo ode colei 	57
48	que la damoisele li prioit si piteusement de li secorre 	che l priega si piatosamente |che-lla soccorra, 	58|59
49	si One sot 	si non sa che fare, 	60
50	que faire quar volentiers li alast aidier sil peust estre 	ché volentieri l’andasse ad atare se potesse, 	61
51	mais il voit laigue parfonde et perillouse et noire. 	ma e vede l’acqua nera e profonda e perigliosa 	62
52	si quide bien morir 	che crede bene morire 	63
53	se il si met 	s’elli si mette di dentro; 	64
54	Et dautre part voit il cels 	e d’altra parte |e vede colei 	65|66
55	qui si piteusement li crie merci. 	che si duramente gli grida mercé, 	67
56	si len prent tele pities 	si ne gli prende tale piatà 	68
57	quil en laisse toute paour 	che ne lascia tutte paure 	69
58	et met le signe de la vraie crois en mi son front et en mi son pis. 	e si fa el segno della santa croce |nel miluogo del suo viso, 	70|71
59	puis enbrace son escu 	poscia imbraccia lo scudo 	72
60	et fiert le cheual des esperons 	e broca il cavallo degli sproni, 	73
61	et se lance en laigue. 	si fiede nell’acqua isnellamente. 	74
62	Et li cheuaus commence a noier: 	El cavallo fu forte, |incominciò a notare 	75|76
63	si tost quil a terre perdue. 	si tosto com'elli ebbe terra perduta, 	77
64	si lenporte de lautre part a grant paine 	si ne l portò d’altra parte della riva a qualche pena, 	78
65	mes aincois ot beu de laigue li vns et li autres. 	'ma inanzi furono amenduni tutti molli, 	79
66	Et se li cheuaus ne fust si boins noie fussent ambedui 	e se l cavallo non fosse stato si forte, |anegati fossono amenduni, 	80|81
67	Car li cheualiers estoit pesans pour lez armes 	ché l cavaliere era pesante per l’arme 	82
68	quil auoit uestues 	ch’elli avea vestite. 	83
69|70	si en fu moult en peril. . |uant bohors ot passe laigue pour la damoisele secorre 	Quand’e fu da l’altra parte dell’acqua, 	84
71|72	ainsi que vous poes oir. |si ne descendi mie ains cort sus a chiaus 	si non discende passo, 	85
73	qui la damoisele tenoient 	anzi muove il cavallo inverso di coloro |che lla T tenieno 	86|87
74	si fiert le premier quil encontre si durement 	e fiede si il primaio |ch’elli agiugne 	88|89
75	quil li met le glaiue parmi le cors 	che gli mette la lancia per me' il corpo, 	90
76	si labat a la terre. 	si-llo abatte a terra, 	91
77	Et li autre senfuient pour chou 	e gli altri |se ne fugono tosto 	92|93
78	que desarme estoient. 	per ciò che disarmati erano. 	94
79	Et la damoisele 	E la damigella, 	95
80	qui deliure se uoit. 	che si vide dilivera, 	96
81	se met maintenant a genouls deuant bohort 	si mette a ginocchia davanti Boordo: 	97
82	et dist. ha: 	Hal, gentile cavaliere, diss’ella, 	98
83	gentiex cheualiers de dies oess vous beneois 	da Dio siate vo' benedetto 	99
84	quar vous maues de mort rescousse. 	quando vo m’avete di morte riscossa, 	100
85	Et aoures en soit diex 	e adorato ne sia lddio 	101
86	quant il ceste part vous amena. 	quand’elli in queste parti vo menò, 	102
87	Car cist glouton meussent morte 	ché questi guiglioni m’avessono già morta, 	103
88	se vous ne fuissies. 	se vo' non foste. — 	104
89	Damoisele ce dist bohors 	Damigella, |disse Boordo, 	105|106
90	pourcoi vous voloient il mal faire 	perché? 	107
91	Sire fait elle iou le vous dirai bien. 	-Il vo dirò, diss’ella, bene, 	108
92	mais que vous maies mise a sauuete 	ma' che vo' m’abiate messa a salvamento. — |Come, 	109|110
93	Comment fait il aues vous encore paour. 	disse elli, |avete vo' dunque guardia? - 	111|112
94	Sire fait elle ia asseuree ne serai 	Certo, sire, diss'ella, |già sicura non sarò 	113|114
95	tant que iou y sache le seignor del chastel : 	tanto com’io sappia là entro il signore del castello, 	115
96	quar cest li plus fel cheualiers del monde 	ché ciò è il più fiero cavaliere del mondo 	116
97	et li plus desloiaus. 	e I più traditore». 	117
98	ches paroles voient. j. cheualier issir du castel. 	A queste parole vidono uscire un cavaliere del castello, 	118
99	Et la ou il voit bohors. 	e là ov’egli vide Boordo 	119
100	si li escrie dans cheualiers laissies ester la damoisele 	si-llo isgrida: |«Danzi cavaliere, 	120|121
101	quar vous ne lenmenrois pas 	lasciate la damigella, |ché vonon la menere mica, 	122|123
102	et par mon chief mar le rescousistes 	e per mio capo male la riscoteste!». |Si gli corre suso 	124|125
103	quar vous le comperres 	quanto ch’elli puote, 	126
		la lancia islungata, 	127
		e Boordo il fiede si duramente in suo venire 	128
		che llo scudo né llo asbergo no-llo guerentisce 	129
		che non gli metta per me' il corpo e ferro e fusto, 	130
104	se iou puis moult chier. 	e que' cade a terra tutto isteso |che più nonn-à mestier di medico. 	131|132
		E quando que del castello vidono insi lor cavaliere abatuto, 	133
		si ve ne rimandarono immantanente uno altro per quello vendicare, 	134
		che disse a Boordo 	135
105	Et quant bohors lentent si point vers lui 	che ssi guardi da- llui, |ch’elli il disfida, 	136|137
		ed e' dice 	138
106	quanque il pot del cheual traire le glaiue alongie 	che disfida lui. |PAllora trae la lancia del corpo a colui 	139|140
107	quil auoit trait del cors a celui quil auoit ochis. 	ch’elli avea morto, |si lascia il cavallo andare 	141|142
108	Si fiert celui si durement 	e l fiede si duramente |ch’elli 	143|144
109	quil labat a terre si estordi 	Il’labatte a terra si stordito 	145
110	quil not pooir de lui releuer. 	che non à podere di sé rilevare, 	146
111	Ains iut illueques tous pasmes 	anzi giace ispasimato, 	147
112	quar il cai si felenessement 	ché fu caduto si fellonosamente 	148
113	que a poi que la canoele del col ne li est brisie. 	che a poco che non si ruppe il collo, 	149
114	Et bohors li uait tout a cheual par desus le cors 	e Boordo gli va cavalcando per di suso il corpo 	150
115	Si que tout le debrise. 	tanto che di tutto il dibriscia. 	151
116	Et lors est la damoisele si lie 	Allora est la damigella si lieta 	152
117	que plus ne puet. 	ch’ella non può più, 	153
118	Si dist a bohort 	e disse a Boordo: 	154
119	sire nous nauons hui mes garde. 	Sire, non no abiamo oggimai guardia, 	155
120	Car iou quit quil ni a plus de cheualiers laiens que cestui. 	ch’io non credo mica |ch’egli abbia là entro più cavalieri che questi, 	156|157
121|122	Si vous dirai |ce que vous me denmandastes. 	si vi dirò ora sicuramente ciò che voi mi domandaste. — 	158
123|124	ore le me dites |dont fait bohors. 	Dite, diss’elli. — 	159
125	Par foy sire fait elle entre moi et. i. cheualier 	laPer fé, diss’ella, |intra me e uno cavaliere 	160|161
126	qui mes amis estoit cheualchiemes parmi chest chastel. 	che mio amico era cavalcamo oggi mattinetto per me questo ricetto, 	162
127	Et quant li freres a celui 	e quando il fratello di colui 	163
128	qui vous aues abatu me uit. 	che voi avete ora abatuto mi vide, 	164
129	si me volt auoir et prendre par force 	si mi volle a forza prendere, 	165
130|131	quar il mauoit lonc tamps amee. |Si me prist au frain 	ché m’avea lungamente amato; 	166
132	et men volt mener a force. 	simmi prese al freno |e mi volle menare a forza, 	167|168
133	Mais mes anis se combati a lui 	ma mio amico si combatté tanto a-llui 	169
134	tant quil locist. 	che-ll’ucise. 	170
135|136	Et quant chils cheualiers |que vous uees 	ME quando questo che voi avete qui ora abatuto 	171
137	chi vit son frere mort. 	vide suo fratello morto, 	172
138	si fist mon ami prendre par force de vilains. 	si fece mio amico prendere a forza di villani e di genti, 	173
139	et locist por uengance de son frere 	e l’uccise in vendicanza di suo fratello. 	174
140	quil auoit ochis. 	Ma di me, |per cui suo fratello avea stato morto, 	175|176
141	Et dist 	diss’elli 	177
142	quil se vengeroit de moi sans main metre. 	che-ssi vendicherebbe sanza in me mettere mano, 	178
143	et me fist tantost prendre a ches. iiij. ribaus 	si mi fece prendere a nfino a tre l rubaldi 	179
144	que vous ueistes ore. 	che vo' vedeste 	180
145	et lor commanda 	e loro comandò 	181
146	quil me noiassent. 	che m’anegassono, 	182
147	Car par armes dist 	ché per mano di persona, 	183
148	il ne voeil iou mie 	diss’elli, |non voglio 	184|185
149	que elle muire. 	ch’ella muoia». 	186
150	Si me menoient 	i-mmi menavano, 	187
151	ensi com vous ueistes por noier 	insi come vo vedeste, |per fare morire, 	188|189
152	quant vous me uenistes rescorre par la volente de dieu et la vostre. 	quando vo mi veniste a soccorrere |per la volontà di Dio e della vostra. 	190|191
153	vous ai conte mon errement 	Or vo ho contato tutta mia ventura, 	192
154	si volroie 	si vo vorre' da oggimai, 	193
155	se vostre volentes 	se vostro piacere fosse, pregare 	194
156|157	y estoit que vous me metissies a sauuete. |En vn mien castel 	che vo' mi conduceste a salvamento in uno mio castello 	195
158	qui est pres de chi. volentiers fait il 	ch’è qui presso. — |Volentier. 	196|197
159	et il le prent maintenant par les bras 	disse elli». |Si-lla prende per lo braccio 	198|199
160	et le met sor le col de son cheual. 	e la monta davanti a sé |sopra il corpo di suo cavallo, 	200|201
161	et met son escu derriere son dos. 	si getta suo scudo di dietro suo dosso, 	202
162	si sen torne cele part ou la damoisele lenseigne 	si se ne va in quelle parti |ove la damigella gli 'nsegna, 	203|204
163	Tant que chou vint apres miedi 	tanto che ciò venne apresso di mezodi 	205
164	que il virent deuant euls vn moult bel castel. 	che vegono davanti loro, in uno poggio, uno castello molto bello. 	206
165	Et lors ataingnent. ij. escuiers a lentree dun boskel 	Allora agiungono due scudieri |che uscivano d’uno boschello 	207|208
166	et portoit cascuns venison torsee derriere lui. 	e aportavano amenduni cacciagione torsata di dietro a llui. 	209
167	Et quant il voient la damfolisele 	E quand’e' vidono la damigella, 	210
168	si descendent a pie 	si discenderono immantanente a ppiè 	211
169|170	et li font si grant ioie |comme a celui 	e gli fanno grande gioia come a colei 	212
171	qui lor dame estoit. 	che loro dama era, 	213
172	mais moult sesmerueillent 	ma molto si maravigliarono 	214
173	de ce quil la voient plorer. 	di ciò che lla vidono impiagnendo. 	215
174	si li demandent 	Si-lla inchiesono 	216
175	que elle a. 	ch’ell’avea, 	217
176	Et elle lor conte 	ed ella lor disse 	218
177	comment sez amis auoit este ochis. 	come suo amico era stato ucciso, 	219
178	et iou meisme eusse este ochise. 	«ed io medesima, diss’ella, |fosse stata morta, 	220|221
179	se ne fust cils frans cheualiers 	se non fosse questo franco cavaliere 	222
180	qui par Sa debonairete ma rescousse. 	che per sua dibonarità mi riscosse, 	223
181	et se mist en peril de mort pour moi sauuer. 	si si misse in periglio di morte per mia vita salvare». 	224
182	Et lors conseilla elle a. j. de ses escuiers 	Allor si consiglia con l’uno, 	225
183	Et cil destorse tout maintenant sa venison 	e quelli iscioglie immantanente sua cacciagione 	226
184	et le baille a porter a son compaignon 	e la dona a suo compagnone per portarnela, 	227
185	et sen vait vers le castel 	si se ne va inverso il castello 	228
186	quanque il pot del ronchi traire. 	quanto che può trarre del ronzino. 	229
187	Et bohors demande a la damoisele 	eE Boordo domanda alla damigella 	230
188	comment li castiaus auoit non 	come il castello à nome 	231
189	ou ses amis auoit este ochis. 	ove suo amico avea stato morto. |«Sire, 	232|233
190	Sire fait elle il a a non Galdon:. 	disse ella, |egli à nome Badelon, 	234|235
191	Et laigue ou vous passastes a a non Galide. 	e l’acqua per dove passaste Galede». 	236
192	Ensi sen vont parlant 	aln parlando vanno tanto 	237
193	tant quil sont venu pres del chastel. 	che sono venuti insino qua al castello, 	238
194|195	si le voient moult bel et moult fort |et moult bien seant. 	si 'l vide Boordo molto forte e molto ben sedente. 	239
