0	auoir troue fait elle. 	auoir trouue 	0
1|2	si li conte toute sauenture |si com li contes la retrait cha en arriere. 	si luy compte toute son auanture 	1
3	Tant que il connoist bien 	tant quil cengnoit bien 	2
4	quele le quiert. 	que cest celle 	3
5	Mais pour le courous 	qui le quiert/ 	4
6|7	quil a del senescal. |ne se volt il faire aconnoistre. 	Mais pour le couroust quil a du sencchal et de sa mort ne se uoult faire congnoistre/ 	5
8|9	Ains li respont. |Certes damoisele le cheualier 	mes leur respont certes damoiselle 	6
10	qui porte blanches armes ne connois iou mie. 	ie ne cengnois mie le cheualier |qui porte les blances armes. 	7|8
11	Enon dieu sire fait elle 	En nen dieu fait elle 	9
12	che poise moi moult durement. 	il me poyse monlt chierement. |A donc sen part 	10|11
		et ne uoult plus parler 	12
13|14	Lors le commande a dieu |et puis sen part de li 	il la commandee a dieu et sen ua. 	13
15	et cheuauche en tel maniere iusques a tierce. 	et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies 	14
16|17	Tant que il vint a lissue de la forest. |et torne a destre en vn petit chemin viez 	tant quil uint a lissue de la forest et il tourna a destre uers ung petit chemyn uieil: 	15
18	Si ne demora gaires 	si ne demoura gueres 	16
19	quil vint en vne moult grant ualee 	quil uint en une uallee/ 	17
20	ou il couroit vne aigue grant et roide et parfunde. 	ou il couroit une eau monlt roidde |la quelle estoit grande et parfonde/ 	18|19
21	mais il ni troeue ne pont ne passage. 	et ne treuue ne pont ne planche par ou il puisse passer. 	20
22	Et il regarde de lautre part de laigue 	Sy regarde de laultre part de leaue 	21
23	si y uoit. j. castel moult bien seant. clos de mur bateillie tout entor a la reonde. 	et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour. 	22
24	Il regarde le chastel grant piece 	Il regarde le chastel grant pieche 	23
25	dont la fachons li plaisoit moult a regarder. 	car monlt luy plaisoit a uoir/ 	24
26	puis sen torne contremont la riuiere 	puis sen tourne contre ual la riuiere 	25
27	pour sauoir 	pour scauoir 	26
28	se il troueroit ne pont ne gue. 	sil pouroit trouuer ne pont ne gue par le quel il puisse passer/ 	27
29	mais il ni trueue nul passage. 	mes il nen truue point. 	28
30	Et quant il voit chou 	Et il uoit ce 	29
31|32	si ne set |que faire quar retorner 	si ne scait que faire/ 	30
33	ne volroit il en nulle maniere. 	car retourner ne uoulloit pas. 	31
34	Lors uoit issir del castel vne damoisele toute nue en sa chemise. 	A tant uoit yssir une damoiselle du chastel |la quelle estoit toute nue en sa chemise/ 	32|33
35	si le menoient. iiij. ribaut moult felenessement 	sy la menoient quatre ribaulx monlt felonneusement 	34
36	et tenoit Cascuns en sa main. i. coutel trenchant. 	et tenoient chascun en sa main ung coustel trenchant. 	35
37	Et elle crioit 	Et la damoiselle crioit 	36
38	quamque elle pooit por chiaus 	tant comme elle pouoit pour la laidure et honte 	37
39	qui li faisoient tel laidure. 	que telx ribaulx luy faisoient/ 	38
40	quar il lenmenoient tot contreual la riuiere batant 	et la menoient batant contre ual la riuiere. 	39
41	Et quant elle vit le cheualier de lautre part de laigue. 	Et quant la damoyselle uoit le cheualier de lautre coste de la ry/ 	40
42	si li commenche a crier. 	uiere commenca a crier et dire en tell maniere 	41
43	Ha : gentils homs quar secoures ceste damoisele 	Haa beau et gentil cheualier secoures ceste damoiselle 	42
44	que cist ribaut voelent ochirre. 	que ces ribaulx ueullent occire/ haa franc homme 	43
45	Pour dieu ne mi laissies ore mie morir. 	fait elle me lesres uous ainsi mourir entre les mains de telx paillars. 	44
46	se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame 	et se uous pitie de moy |car se uous ne me secoures ie suys a la mort liurer. 	45|46
47	Quant bohors oy 	Et quant boort ouyt 	47
48	que la damoisele li prioit si piteusement de li secorre 	quelle le prioit si piteusement 	48
49	si One sot 	si ne scait que faire 	49
50	que faire quar volentiers li alast aidier sil peust estre 	car uoulentiers luy allast aider |se il peult estre/ 	50|51
51	mais il voit laigue parfonde et perillouse et noire. 	mes il uoit la riuiere parfonde et dangereuse a passer. 	52
52	si quide bien morir 	et scait bien sil entre dedens 	53
53	se il si met 	qu il se met en peril de mort. 	54
54	Et dautre part voit il cels 	Et daultre part il uoit celle 	55
55	qui si piteusement li crie merci. 	qui si piteusement fui crie mercy. 	56
56	si len prent tele pities 	Si luy en prent telle pitie 	57
57	quil en laisse toute paour 	quil en laisse toute paour 	58
