0	avoir trové. » 	avere trovato». 	0
1	Si li conte tote s’aventure 	Si gli conta tutta sua aventura 	1
2	issi com vos avés oi dire ça arrieres. 	si come el libro l’à trattato qua adietro, 	2
3	tant qu’il conoist bien 	tanto che conosce bene 	3
4	que c’est il 	che ciò est elli quelli 	4
5	qu’ele quiert a, 	cui ella chiede, 	5
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	ma per lo cruccio |ch’egli à della morte del siniscalco 	6|7
		non si vuole fare cognoscere, 	8
7	ains li respont: « 	anzi le risponde: 	9
8|9	Certes, |damoisele, chevalier 	'Certo, damigella, il cavaliere 	10
10	qui porte escu blanc ne conois je nul. — 	che porta lo scudo bianco |non ne so io nulla. 	11|12
11|12	En non Dieu, |sire, 	—A nome di Dio, 	13
13	fet ele, 	dis’ella, 	14
14	ce poise moi chierement. » 	ciò pesa a mes. 	15
15	Et il n’en tient plus a li parole, 	E non tenne più a-llei parole, 	16
16	ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce 	anzi si parti si tosto come l’à comandata a dDio |e cavalca tanto in tale maniera 	17|18
		infino qua a terza, 	19
17	tant qu’il vint a l’issue de la forest; 	tanto che viene a l’uscita della foresta. 	20
18	et il torne a destre vers un chemin viés et ancien; 	Ed e torna a destra inverso uno camino vecchio e antico, 	21
19	si ne demora gueres 	si non dimora guari 	22
20	qu’il vint a une eve P lee et parfonde, 	che viene a una acqua lata e perfonda, 	23
21	mais il n’i trueve pont ne gué ne passage nul. 	ma e' non vi truova né ponte né guado né passaggio nullo. 	24
22	Et il regarde d’autre part de l’eve, 	Ed elli isguarda d’altra parte dell’acqua, 	25
23	si voit I. petit chastel molt bien seant, 	si vide uno piccolo castello molto ben sedente, 	26
24	clos de mur bateillié tot entor a la roonde. 	chiuso d’uno muro battagliato |tutto intorno alla ritonda. 	27|28
25	ll regarde grant piece le chastel 	eElli riguarda gran peza il castello, 	29
26	dont la façons li plest molt a regarder, 	donde la fazion gli piace molto al riguardare, 	30
27	puis s’en torne contreval la riviere 	poscia ritorna tutto contravalle la riviera 	31
28	por savoir s’il i peust trover ne pont ne gué, 	per sapere se potrebbe trovare né ponte né guado, 	32
29	mais il n’en trueve point 	ma e non ve ne truova punto, 	33
30	et quant il voit 	e quand’e vede 	34
31	qu’il n’i passera, 	che non potrà passare, 	35
32	si ne set que fere, 	si non sa che fare, 	36
33	que retorner ne voldroit il mie. 	ché ritornare non vorebbe elli mica. 	37
34	Atant voit issir del chastel une damoisele 	?Atanto vide uscire una damigella del castello 	38
35	qui ert tote nue en sa chemise, 	ch’era tutta ignuda in sua camicia solamente, 	39
36	si le menoient troi vilain molt vilainement a 	si-lla menavano iiii. rubaldi molto villanamente 	40
37	et tenoit chescuns une hache en sa main; 	e tenieno ciascuno una acciaia in sua mano. 	41
38	et ele crioit 	Ed ella grida 	42
39	quanque ele pooit crier 	quanto |ch’ella può gridare 	43|44
40	por els qui li faisoient tel honte et tel laidure 	per coloro |che-lle facieno cotale onta e tal ladiura, 	45|46
41	qu’il la venoient batant tot contreval la riviere. 	ch’elli la menavano |battendo tutto contravalle la riviera. 	47|48
42	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	E quando la damigella vide lo cavaliere dall’altra parte dell’acqua, 	49
43	si commence a crier: « 	si gli comincia a gridare: 	50
44	Ha, gentilz chevaliers, 	Hal, gentile huomo, 	51
45	secorés ceste damoisele 	soccorete questa damigella 	52
46	que cist ribaut vuelent ocirre. 	che questi rubaldi vogliono uccidere! 	53
47|48	Ha, frans hom, |ne m’i laissiés morir, 	Hal, franco cavaliere, non mi lasciate uccidere, 	54
49	se vos onques eustes pitié de nule gentil damoisele !» 	se voi unque aveste piatà |di nulla gentile damigella». 	55|56
50	Quant Boors ot ce 	“Quando Boordo ode colei 	57
51	qu’ele li prie si pitousement 	che l priega si piatosamente 	58
52	qu'il la secore, 	che-lla soccorra, 	59
53	si ne set que fere, 	si non sa che fare, 	60
54|55	kar volentiers li aidast |s’il peust; 	ché volentieri l’andasse ad atare se potesse, 	61
56|57	mais il voit l’eve noire |et parfonde et si perilluse 	ma e vede l’acqua nera e profonda e perigliosa 	62
58	qu’il cuide bien noier, 	che crede bene morire 	63
59	s’il se met dedens; 	s’elli si mette di dentro; 	64
60	et d'autre part il voit cele 	e d’altra parte |e vede colei 	65|66
61	qui si durement crie merci; 	che si duramente gli grida mercé, 	67
62	si l'em prent tels pitiés 	si ne gli prende tale piatà 	68
63	qu’il en laisse totes poors 	che ne lascia tutte paure 	69
64	et fet le signe de la crois en mi son vis, 	e si fa el segno della santa croce |nel miluogo del suo viso, 	70|71
65	puis enbrace l’escu 	poscia imbraccia lo scudo 	72
66	et broche le cheval des esperons 	e broca il cavallo degli sproni, 	73
67	et se fiert en l’eve. 	si fiede nell’acqua isnellamente. 	74
68	Et li chevals fu fors, 	El cavallo fu forte, 	75
69	si commence a noer 	incominciò a notare 	76
70	si tost com il ot terre perdue, 	si tosto com'elli ebbe terra perduta, 	77
71	si l’enporte d’autre part de la rive a quelque paine, 	si ne l portò d’altra parte della riva a qualche pena, 	78
