0	avoir trové	auoir trouue	0
1	Si li conte tote s’aventure issi com vos avés oi dire ça arrieres	si luy compte toute sauanture|ansi comme le comte la dit cy deuant	1|2
2	tant qu’il conoist bien	tant que il cognoist bien	3
3	que c’est il qu’ele quiert a	que cest il quelle quiert	4
4|5	Mais por le coros de la mort al seneschal ne se volt fere conoistre|ains li respont Certes	Mais pour le courroux quil a de la mort au seneschal ne se ueult il faire cognoistre Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier	5
6	damoisele		
7|8	chevalier|qui porte escu blanc ne conois je nul	qui porte escu blanc	6
9	— En non Dieu		
10	sire		
11|12	fet ele|ce poise moi chierement	Certes sire fait elle ce me poise	7
13	Et il n’en tient plus a li parole	et il ne tient plus parole a luy	8
14	ains part	ains sem part	9
15	si tost com il l’ot commandee a Dieu a	si tost quil leut commandee a dieu	10
16	et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest;	et cheuauche en telle maniere iucqua tierce tant quil uient a lissue de la fourest	11
17	et il torne a destre vers un chemin viés	et il tourne a destre vers ung chemin uieil	12
18	et ancien;	et ancien	13
19	si ne demora gueres qu’il vint a une eve P lee	Si ne demoura gueres quil uient a une caue lee	14
20	et parfonde	et parfonde	15
21	mais il n’i trueve pont ne gué ne passage nul	mais il ny treuue pont ne gue ne passage nul	16
22|23	Et il regarde d’autre part de l’eve|si voit I	et il regarde de lautrepart de leaue	17
24|25	petit chastel molt bien seant|clos de mur bateillié tot entor a la roonde	si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde	18
26	ll regarde grant piece le chastel	Il regarde grant piece le chastel	19
27	dont la façons li plest molt a regarder	dont la facon luy plaist moult a regarder	20
28	puis s’en torne contreval la riviere por savoir s’il i peust trover ne pont ne gué	puis sen retourne tout contreual la riuiere|pour sauoir sil pourroit trouuer ne pont ne gue	21|22
29	mais il n’en trueve point	Mais il ny en treuue point	23
30	et quant il voit qu’il n’i passera	Et quant il uoit quil ne puet passer	24
31	si ne set	si ne scet	25
32	que fere	que faire	26
33	que retorner ne voldroit il mie	car retourner ne uouldroit il pas	27
34	Atant voit issir del chastel une damoisele	Adonc uoit yssir du chastel une damoisele	28
35	qui ert tote nue en sa chemise	qui estoit toute nue en sa chemise	29
36	si le menoient troi vilain molt vilainement a	si la menoyent quatre nibaux moult uilainement	30
37	et tenoit chescuns une hache en sa main;	et tenoit ch̃un une hache en sa main	31
38	et ele crioit quanque ele pooit crier por els	et elle crioit tant quelle pouoit crier|pour ceulx	32|33
39	qui li faisoient tel honte	qui luy faisoient tel honte	34
