0	auoir troue fait elle. 	auoir troue 	0
1	si li conte toute sauenture 	Si li conte tote sauenture 	1
2	si com li contes la retrait cha en arriere. 	ainsi com li contes la retraite. 	2
3	Tant que il connoist bien 	Tant que il quenoit bien 	3
4	quele le quiert. 	que cest ele |que il le quiert. 	4|5
5	Mais pour le courous 	mais por le corrous 	6
6	quil a del senescal. 	quil auoit de la mort au seneschal: 	7
7	ne se volt il faire aconnoistre. 	ne se wet faire quenoistre a li 	8
8	Ains li respont. 	si li dit. 	9
9	Certes damoisele le cheualier 	Certes damoisele 	10
10	qui porte blanches armes ne connois iou mie. 	qui port escu blanc ne sai ie nul. 	11
11	Enon dieu sire fait elle 	En no dieu fait ele 	12
12	che poise moi moult durement. 	de ce me poise il trop durement. 	13
13	Lors le commande a dieu 	et il ne tient plus a li parole. 	14
14	et puis sen part de li 	Ains sen part si tost 	15
15	et cheuauche en tel maniere iusques a tierce. 	comme il lot comandee a dieu. |et cheuauche en tel maniere. 	16|17
16	Tant que il vint a lissue de la forest. 	tant quil uient a lissue de la forest	18
17	et torne a destre en vn petit chemin viez 	et il torne a destre uers le chemin uiee et acien 	19
18	Si ne demora gaires 	Si ne demora gaires 	20
19|20	quil vint en vne moult grant ualee |ou il couroit vne aigue grant et roide et parfunde. 	quil uient a une eue lee et parfonde. 	21
21	mais il ni troeue ne pont ne passage. 	mais il ni trueue ne pont ne gue ne passaige nul. 	22
22	Et il regarde de lautre part de laigue 	et lors regarde il dautre part de leue. 	23
23	si y uoit. j. castel moult bien seant. clos de mur bateillie tout entor a la reonde. 	Si uoit .i. petit chastelet mout bien feant |qui estoit clos de murs batilliez de toutes pars enuiron a la roonde 	24|25
24	Il regarde le chastel grant piece 	Il esgarde Longuement le chastel 	26
25	dont la fachons li plaisoit moult a regarder. 	dont Ia fasons li plait mout a esgarder. 	27
26	puis sen torne contremont la riuiere 	et puis sen torne tot contreual la riuere. 	28
27	pour sauoir 	Por sauoir 	29
28	se il troueroit ne pont ne gue. 	se il i troueroit ne pont ne gue. 	30
29|30	mais il ni trueue nul passage. |Et quant il voit chou 	mais il nen i trurue point : 	31
31|32	si ne set |que faire quar retorner 	si ne sot que faire 	32
33	ne volroit il en nulle maniere. 	car retorner ne wet il mie 	33
34	Lors uoit issir del castel vne damoisele toute nue en sa chemise. 	atant uoit issir une damoisele dou chastel |qui estoit tote nue en sa chemisse 	34|35
35	si le menoient. iiij. ribaut moult felenessement 	si la menoient. iiii.tre ribaus mout uilment. 	36
36	et tenoit Cascuns en sa main. i. coutel trenchant. 	et tenoit chascuns une hache en sa main. 	37
37	Et elle crioit 	et ele crioit 	38
38	quamque elle pooit por chiaus 	quantque le pooit crier. |por ciax 	39|40
39	qui li faisoient tel laidure. 	qui li fasoient tele honte. |et tel laidure 	41|42
40	quar il lenmenoient tot contreual la riuiere batant 	que il la menoient |batant tout contrtual la riuiere 	43|44
41	Et quant elle vit le cheualier de lautre part de laigue. 	t quant la damoisele uoit le cheualier dautre part la riuiere. 	45
42	si li commenche a crier. 	si li comance a crier. ha: 	46
43	Ha : gentils homs quar secoures ceste damoisele 	gentis cheualiers secores ceste damoisele 	47
44	que cist ribaut voelent ochirre. 	que ciz ribaut wellet ocire. ha; 	48
