0	avoir trové. » 	auoir trouue 	0
1|2	Si li conte tote s’aventure |issi com vos avés oi dire ça arrieres. 	si luy compte toute son auanture 	1
3	tant qu’il conoist bien 	tant quil cengnoit bien 	2
4	que c’est il 	que cest celle 	3
5	qu’ele quiert a, 	qui le quiert/ 	4
6|7	Mais por le coros de la mort al seneschal ne se volt fere conoistre, |ains li respont: « 	Mais pour le couroust quil a du sencchal et de sa mort ne se uoult faire congnoistre/ 	5
8|9	Certes, |damoisele, chevalier 	mes leur respont certes damoiselle 	6
10	qui porte escu blanc ne conois je nul. — 	ie ne cengnois mie le cheualier |qui porte les blances armes. 	7|8
11|12	En non Dieu, |sire, 	En nen dieu fait elle 	9
13|14	fet ele, |ce poise moi chierement. » 	il me poyse monlt chierement. 	10
15	Et il n’en tient plus a li parole, 	A donc sen part |et ne uoult plus parler 	11|12
16	ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce 	il la commandee a dieu et sen ua. |et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies 	13|14
17|18	tant qu’il vint a l’issue de la forest; |et il torne a destre vers un chemin viés et ancien; 	tant quil uint a lissue de la forest et il tourna a destre uers ung petit chemyn uieil: 	15
19	si ne demora gueres 	si ne demoura gueres 	16
20	qu’il vint a une eve P lee et parfonde, 	quil uint en une uallee/ |ou il couroit une eau monlt roidde 	17|18
21	mais il n’i trueve pont ne gué ne passage nul. 	la quelle estoit grande et parfonde/ |et ne treuue ne pont ne planche par ou il puisse passer. 	19|20
22	Et il regarde d’autre part de l’eve, 	Sy regarde de laultre part de leaue 	21
23|24	si voit I. petit chastel molt bien seant, |clos de mur bateillié tot entor a la roonde. 	et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour. 	22
25	ll regarde grant piece le chastel 	Il regarde le chastel grant pieche 	23
26	dont la façons li plest molt a regarder, 	car monlt luy plaisoit a uoir/ 	24
27	puis s’en torne contreval la riviere 	puis sen tourne contre ual la riuiere 	25
28	por savoir s’il i peust trover ne pont ne gué, 	pour scauoir |sil pouroit trouuer ne pont ne gue par le quel il puisse passer/ 	26|27
29	mais il n’en trueve point 	mes il nen truue point. 	28
30|31	et quant il voit |qu’il n’i passera, 	Et il uoit ce 	29
32	si ne set que fere, 	si ne scait que faire/ 	30
33	que retorner ne voldroit il mie. 	car retourner ne uoulloit pas. 	31
34	Atant voit issir del chastel une damoisele 	A tant uoit yssir une damoiselle du chastel 	32
35	qui ert tote nue en sa chemise, 	la quelle estoit toute nue en sa chemise/ 	33
36	si le menoient troi vilain molt vilainement a 	sy la menoient quatre ribaulx monlt felonneusement 	34
37	et tenoit chescuns une hache en sa main; 	et tenoient chascun en sa main ung coustel trenchant. 	35
38|39	et ele crioit |quanque ele pooit crier 	Et la damoiselle crioit 	36
40	por els qui li faisoient tel honte et tel laidure 	tant comme elle pouoit pour la laidure et honte |que telx ribaulx luy faisoient/ 	37|38
41	qu’il la venoient batant tot contreval la riviere. 	et la menoient batant contre ual la riuiere. 	39
42	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	Et quant la damoyselle uoit le cheualier de lautre coste de la ry/ 	40
43	si commence a crier: « 	uiere commenca a crier et dire en tell maniere 	41
44|45	Ha, gentilz chevaliers, |secorés ceste damoisele 	Haa beau et gentil cheualier secoures ceste damoiselle 	42
46|47	que cist ribaut vuelent ocirre. |Ha, frans hom, 	que ces ribaulx ueullent occire/ haa franc homme 	43
48	ne m’i laissiés morir, 	fait elle me lesres uous ainsi mourir entre les mains de telx paillars. 	44
49	se vos onques eustes pitié de nule gentil damoisele !» 	et se uous pitie de moy |car se uous ne me secoures ie suys a la mort liurer. 	45|46
50	Quant Boors ot ce 	Et quant boort ouyt 	47
51|52	qu’ele li prie si pitousement |qu'il la secore, 	quelle le prioit si piteusement 	48
53	si ne set que fere, 	si ne scait que faire 	49
54	kar volentiers li aidast 	car uoulentiers luy allast aider 	50
55	s’il peust; 	se il peult estre/ 	51
56|57	mais il voit l’eve noire |et parfonde et si perilluse 	mes il uoit la riuiere parfonde et dangereuse a passer. 	52
58	qu’il cuide bien noier, 	et scait bien sil entre dedens 	53
59	s’il se met dedens; 	qu il se met en peril de mort. 	54
60	et d'autre part il voit cele 	Et daultre part il uoit celle 	55
61	qui si durement crie merci; 	qui si piteusement fui crie mercy. 	56
62	si l'em prent tels pitiés 	Si luy en prent telle pitie 	57
63	qu’il en laisse totes poors 	quil en laisse toute paour 	58
64	et fet le signe de la crois en mi son vis, 	et fait le signe de la croix deuant son uisaige 	59
65	puis enbrace l’escu 	puys embrache son escu 	60
66	et broche le cheval des esperons 	et fiert son cheual des esperens 	61
67	et se fiert en l’eve. 	et se lanche dedens leaue tout erraument: 	62
68|69	Et li chevals fu fors, |si commence a noer 	et le cheual commence a noer si tost 	63
70	si tost com il ot terre perdue, 	quil eust terre perdue. 	64
